feature,spearman_rho,p_value
n,0.9741820627833011,1.1607863808169445e-194
q,0.2719859145963773,1.7380699375021445e-06
degree,0.18663767545080628,0.0011632241717632458
locality,0.054636872787456235,0.34563365602235496
tw_approx,0.41210068616258516,9.971884142770881e-14
sid_exact,0.12925447799687806,0.025168506806961276
locality_lb,0.09500228861857937,0.1005205848509305
